match_id,venue,team_name_x,team_name_y,date,pred_team_x,pred_team_y,winning_team
1254058,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Royal Challengers Bangalore,04-09-2021,0.523842877,0.476157123,Royal Challengers Bangalore
1254059,"Wankhede Stadium, Mumbai",Chennai Super Kings,Delhi Capitals,04-10-2021,0.362591037,0.637408963,Delhi Capitals
1254060,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,Kolkata Knight Riders,04-11-2021,0.37489307,0.62510693,Kolkata Knight Riders
1254061,"Wankhede Stadium, Mumbai",Punjab Kings,Rajasthan Royals,04-12-2021,0.399823174,0.600176826,Punjab Kings
1254062,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,Mumbai Indians,13-04-2021,0.337221302,0.662778698,Mumbai Indians
1254063,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,Royal Challengers Bangalore,14-04-2021,0.333148443,0.666851557,Royal Challengers Bangalore
1254064,"Wankhede Stadium, Mumbai",Delhi Capitals,Rajasthan Royals,15-04-2021,0.513513997,0.486486003,Rajasthan Royals
1254065,"Wankhede Stadium, Mumbai",Chennai Super Kings,Punjab Kings,16-04-2021,0.400071188,0.599928812,Chennai Super Kings
1254066,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,Mumbai Indians,17-04-2021,0.254088778,0.745911222,Mumbai Indians
1254067,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,Royal Challengers Bangalore,18-04-2021,0.304388311,0.695611689,Royal Challengers Bangalore
1254068,"Wankhede Stadium, Mumbai",Delhi Capitals,Punjab Kings,18-04-2021,0.647479869,0.352520131,Delhi Capitals
1254069,"Wankhede Stadium, Mumbai",Chennai Super Kings,Rajasthan Royals,19-04-2021,0.696901589,0.303098411,Chennai Super Kings
1254070,"MA Chidambaram Stadium, Chepauk, Chennai",Delhi Capitals,Mumbai Indians,20-04-2021,0.608072184,0.391927816,Delhi Capitals
1254071,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,Punjab Kings,21-04-2021,0.368077825,0.631922175,Sunrisers Hyderabad
1254072,"Wankhede Stadium, Mumbai",Chennai Super Kings,Kolkata Knight Riders,21-04-2021,0.625594052,0.374405948,Chennai Super Kings
1254073,"Wankhede Stadium, Mumbai",Rajasthan Royals,Royal Challengers Bangalore,22-04-2021,0.236137442,0.763862558,Royal Challengers Bangalore
1254074,"MA Chidambaram Stadium, Chepauk, Chennai",Punjab Kings,Mumbai Indians,23-04-2021,0.304971288,0.695028712,Punjab Kings
